product_code,device_name,device_class,medical_specialty,medical_specialty_description,regulation_number,definition,gmp_exempt_flag,submission_type_id
OPH,Radiation Attenuating Medical Glove,1,HO,General Hospital,880.6250,"Radiations attenuating medical gloves are medical gloves that are used during medical or surgical procedures involving radiation to shield the hands of the wearer from scattered radiation exposure. The gloves offer some degree of protection to the hand from radiation exposure as well as protection from transmission of infectious agents.  The use of these gloves includes procedures that require the use of fluoroscopy or radiography.  In addition to meeting the requirements for examination or surgeon¿s gloves, manufacturers should have technical data to show that their attenuation claims meet the energy range of x-rays normally used in medical procedures.",N,1
HFO,"Recorder, Pressure, Intrauterine",2,OB,Obstetrics/Gynecology,884.2700,,N,1
QFQ,"Ingested, Transient, Space Occupying Device For Weight Management And/Or Weight Loss",2,GU,"Gastroenterology, Urology",876.5982,This device is an ingested material that transiently occupies space in the stomach. The device passes from the body via the natural gastrointestinal tract.,N,1
MRD,Mammary Sizer,U,,Unknown,,,N,1
FME,"Gown, Examination",1,HO,General Hospital,880.6265,,Y,4
FLG,"Cleaner, Ultrasonic, Medical Instrument",1,HO,General Hospital,880.6150,,N,4
KGM,"Silicone, Liquid, Injectable",3,,Unknown,,,N,2
NYL,"Handpiece, Air-Powered, Root Canal Irrigation",1,DE,Dental,872.4200,To clean the root canal prior to filling and used for root canal irrigation.,N,1
LPH,"Prosthesis, Hip, Semi-Constrained, Metal/Polymer, Porous Uncemented",2,OR,Orthopedic,888.3358,,N,1
HGG,"Controller, Abortion Unit, Vacuum",2,OB,Obstetrics/Gynecology,884.5070,,N,1
EGY,"Processor, Radiographic-Film, Automatic, Dental",2,RA,Radiology,892.1900,,N,4
GNE,"Antigen, Latex Agglutination, T. Cruzi",1,MI,Microbiology,866.3870,,N,1
QMG,Shockwave Intravascular Lithotripsy System,3,,Unknown,,Dilatation of coronary arteries prior to stenting,N,2
LQP,Campylobacter Spp.,1,MI,Microbiology,866.3110,,N,1
MGX,"Test System, For Drugs Of Abuse",3,,Unknown,,,N,2
POV,Semen Analysis Device,2,HE,Hematology,864.5220,"Device used to evaluate one or more human semen parameters including semen volume, sperm concentration, total sperm number, sperm motility, sperm morphology, sperm vitality, white blood cell concentration, and pH.",N,1
OYW,"Laser, Cellulite Appearance",2,SU,"General, Plastic Surgery",878.4810,For the removal of fat through laser lipolysis.,N,1
LQF,"Dna-Reagents, Mycobacterium Spp.",1,MI,Microbiology,866.3370,,N,1
QJK,Intraoral Camera,2,DE,Dental,872.3661,To capture the topographical characteristics of teeth or a stone model,N,4
IMI,Ultrasonic Diathermy For Use In Applying Therapeutic Deep Heat,2,PM,Physical Medicine,890.5300,,N,1
ELZ,"Crown, Preformed",1,DE,Dental,872.3330,,N,4
GAQ,"Suture, Nonabsorbable, Steel, Monofilament And Multifilament, Sterile",2,SU,"General, Plastic Surgery",878.4495,,N,1
HWW,Countersink,1,OR,Orthopedic,888.4540,,N,4
LRC,"Instrument, Ent Manual Surgical",1,EN,"Ear, Nose, Throat",874.4420,,N,4
OTN,"Mesh, Surgical, Synthetic, Urogynecologic, For Stress Urinary Incontinence, Retropubic Or Transobturator",2,SU,"General, Plastic Surgery",878.3300,Surgical treatment of female stress urinary incontinence due to intrinsic sphincter deficiency (isd) and/or urethral hypermobility,N,1
OAU,"Des-Gamma-Carboxy-Prothrombin (Dcp), Risk Assessment, Hepatocellular Carcinoma",2,IM,Immunology,866.6030,"The test is intended to quantitatively measure dcp in human serum and use as an aid in the risk assessment of patients with chronic liver disease for progression to hepatocellular carcinoma (hcc) in conjunction with other laboratory findings, imaging studies and clinical assessment for risk assessment of patients with chronic liver disease for progression to hepatocellular carcinoma.",N,1
DLO,"Indicator, Silica Gel Fluorescent, Tlc",1,CH,Clinical Chemistry,862.2270,,N,4
CHJ,"Mercuric Thiocyanate, Colorimetry, Chloride",2,CH,Clinical Chemistry,862.1170,,N,1
OIZ,Foot Examination Tool For Inflammatory Changes,1,PM,Physical Medicine,890.5050,"Assist a patient to visualize the image and condition of the soles of their feet in connection with a daily self-examination for signs of inflammation on the sole of the foot.  The device will assist the patient in determining when they should contact their  healthcare provider for further diagnosis and treatment regarding any skin  changes seen by a mirror and/or highlighted by the liquid crystal foot pads.  Intended to be used as an adjunct to, and not in replacement of,  periodic foot care and examinations conducted by a health care professional and  used under the direction of a health care professional and does not diagnose any specific disease state.",N,4
KXO,"Monitor, Pressure, Intrauterine",2,OB,Obstetrics/Gynecology,884.2700,,N,1
LXW,"Column, Adsorption, Low Density, Lipoprotein",3,,Unknown,,,N,3
NGK,"Test, Occult Blood, Over The Counter",2,HE,Hematology,864.6550,,N,1
KPE,"Container, I.V.",2,HO,General Hospital,880.5025,,N,1
PQT,Alpha-L-Iduronidase (Idua) Newborn Screening Test System,2,CH,Clinical Chemistry,862.1488,Intended for quantitative measurement of the activity of alpha-L-iduronidase (IDUA) from newborn dried blood spot specimens.,N,1
MZV,"Test, System, Potassium, Enzymatic Method",2,CH,Clinical Chemistry,862.1600,,N,1
BWH,"Forceps, Biopsy, Bronchoscope (Non-Rigid)",2,EN,"Ear, Nose, Throat",874.4680,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",N,1
OJB,Resorbable Spinal Intervertebral Body Fixation Orthosis - Plate,2,OR,Orthopedic,888.3060,"Maintain position of bone graft in spinal fusion procedures. Intended for use in spinal fusion procedures as a means to maintain the relative position of weak bony tissue such as allografts or autografts, in conjunction with traditional rigid fixation.",N,1
MQI,"Microtool Fabrication, Assisted Reproduction",2,OB,Obstetrics/Gynecology,884.6140,,N,1
JAD,"System, Therapeutic, X-Ray",2,RA,Radiology,892.5900,,N,1
GQT,"Antisera, Cf, Parainfluenza Virus 1-4",1,MI,Microbiology,866.3400,,N,4
EKI,"Carrier, Amalgam, Operative",1,DE,Dental,872.4565,,N,4
NGS,"Assay, Endotoxin Activity, Chemiluminescent",2,MI,Microbiology,866.3210,,N,1
RFK,Laser Vision,N,,Unknown,,"A laser used for positioning, focusing, inspection, counting, or other application in an industrial or commercial environment.  Often incorporated in an automated assembly line system.",Y,
OFM,Phlebotomy Blood Collection Kit,2,CV,Cardiovascular,870.2750,"This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at http://www.fda.gov/downloads/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080217.pdf.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
REF,Suntan Bed,2,SU,"General, Plastic Surgery",878.4635,"A bed or other platform that is designed to incorporate one or more ultraviolet lamps and intended for irradiation of any part of the human body, by ultraviolet radiation with wavelengths in air between 200 and 400 nanometers, to induce skin tanning.",N,1
MXJ,"Enzyme Linked Immunosorbent Assay, Herpes Simplex Virus, Hsv-1",2,MI,Microbiology,866.3305,,N,1
EQL,Laryngostroboscope,1,EN,"Ear, Nose, Throat",874.4750,,N,4
JNN,"P-Toluenesulphonyl-L-Arginine Methyl Ester (U.V.), Trypsin",1,CH,Clinical Chemistry,862.1725,,N,4
NFE,"Materials, Polytetrafluoroethylene Vitreous Carbon, For Maxillofacial Alveolar Ridge Augmentation",2,DE,Dental,872.3680,,N,1
HAM,"Apparatus, Electrosurgical",2,SU,"General, Plastic Surgery",878.4400,,N,1
LZO,"Prosthesis, Hip, Semi-Constrained, Metal/Ceramic/Polymer, Cemented Or Non-Porous, Uncemented",2,OR,Orthopedic,888.3353,,N,1
MPV,"Implant, Hearing, Active, Middle Ear, Partially Implanted",3,,Unknown,,,N,2
GGF,Acid Hematin,2,HE,Hematology,864.7500,,N,4
JTS,"Stains, Microbiologic",1,HE,Hematology,864.1850,,Y,4
DJF,"Gas Chromatography, Opiates",2,TX,Clinical Toxicology,862.3650,,N,1
GOG,"Antisera, Cf, Poliovirus 1-3",1,MI,Microbiology,866.3405,,N,4
CGM,"Method, Immunodiffusion, Immunoglobulins (G, A, M)",2,IM,Immunology,866.5510,,N,1
JHG,"Chromatographic Separation, Lecithin/Sphingomyelin Ratio",2,CH,Clinical Chemistry,862.1455,,N,1
GGX,"Pipette, Sahli",1,HE,Hematology,864.6160,,N,4
DMT,"Enzymatic Method, Alcohol Dehydrogenase, Ultraviolet",2,TX,Clinical Toxicology,862.3040,,N,1
OHY,Pill Crusher/Cutter,1,HO,General Hospital,880.6430,A device used to cut or crush medication to aid in consumption.  The device is intended to only be used with medications that are labeled as acceptable for crushing or cutting.,N,4
KMG,"Purifier, Water, Ultraviolet, Medical",2,HO,General Hospital,880.6710,,N,4
MLM,"Enzyme Immunoassay, Tracrolimus",2,CH,Clinical Chemistry,862.1678,,N,1
JZC,"Searcher, Mastoid",1,EN,"Ear, Nose, Throat",874.4420,,N,4
LOE,"Stimulator, Invasive Bone Growth",3,,Unknown,,,N,2
HOG,"Burr, Corneal, Battery-Powered",1,OP,Ophthalmic,886.4070,,N,4
QRN,Radiation Therapy Marking Device,2,RA,Radiology,892.5785,"A radiation therapy marking device is a powered device that transdermally delivers a permanent or temporary colorant to the skin for the purpose of placing marks to guide radiation therapy. This classification does not include devices with reusable or reprocessed needles or devices intended for diagnostic, therapeutic, or aesthetic use or to deliver other products for these uses.",N,1
JSJ,"Culture Media, Selective And Non-Differential",1,MI,Microbiology,866.2360,,N,4
KXX,"Adhesive, Denture, Karaya And Ethylene-Oxide Homopolymer",1,DE,Dental,872.3450,,N,4
PRH,Positive Blood Culture Identification And Ast Kit,2,MI,Microbiology,866.1650,"Fluorescence in situ hybridization (FISH) identification and quantitative, antimicrobial susceptibility testing (AST) kit intended for simultaneous detection and identification of multiple microbial targets.",N,1
RHD,Ir Remote Controller,N,,Unknown,,A noncoherent infrared light source used to transmit signals and/or information in order to operate equipment or machinery remotely.,Y,
FRL,"Fiber, Medical, Absorbent",1,HO,General Hospital,880.5300,,Y,4
DPA,"Apparatus, General Use, Thin Layer Chromatography",1,CH,Clinical Chemistry,862.2270,,Y,4
CJJ,"Diazo, Alt/Sgpt",1,CH,Clinical Chemistry,862.1030,,N,4
ETK,"Tube, Toynbee Diagnostic",1,EN,"Ear, Nose, Throat",874.1925,,N,4
ISD,"Exerciser, Measuring",2,PM,Physical Medicine,890.5360,,N,4
OAJ,"Catheter, Drainage, Intraoral/Extraoral",1,SU,"General, Plastic Surgery",878.4200,"To allow continuous drainage of saliva and/or fluid irrigation of the salivary duct as well as assisting in maintaining duct patency during the healing process following removal of salivary gland stones for temporary insertion into the salivary gland, whether orally or through the cheek following endoscopic or surgical removal of salivary gland stones",N,4
MJG,"Device, Percutaneous, Biopsy",1,SU,"General, Plastic Surgery",878.4800,,N,4
PKC,"Prosthesis, Total Anatomic Shoulder, Uncemented Metaphyseal Humeral Stem With No Diaphyseal Incursion, Semi-Constrained",2,OR,Orthopedic,888.3660,Replacement of the humeral head for total anatomic shoulder arthroplasty,N,1
FAJ,"Cystoscope And Accessories, Flexible/Rigid",2,GU,"Gastroenterology, Urology",876.1500,"To examine and perform procedures within the urinary tract.    For reusable, flexible endoscopes in this product code, validated reprocessing instructions and reprocessing validation data must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",N,1
JBK,"Glucose-6-Phosphate Dehydrogenase (Erythrocytic), U.V. Kinetic",2,HE,Hematology,864.7360,,N,1
GON,"Antigen, Cf (Including Cf Control), Rubella",2,MI,Microbiology,866.3510,,N,1
DKB,"Calibrators, Drug Mixture",2,TX,Clinical Toxicology,862.3200,,N,4
GSB,"Antigens, Cf, All, Mycoplasma Spp.",1,MI,Microbiology,866.3375,,N,4
DEL,"Lipoprotein X, Antigen, Antiserum, Control",1,IM,Immunology,866.5590,,N,4
PKN,"Dilator, Cervical, Synthetic, Osmotic",2,OB,Obstetrics/Gynecology,884.4260,Cervical softening and dilation,N,1
JBZ,"Study, Platelet Adhesive",2,HE,Hematology,864.6650,,N,4
LAD,"Gas Chromatography, Codeine",2,TX,Clinical Toxicology,862.3270,,N,1
SEF,Central Venous Catheter With Manual Insertion System,2,HO,General Hospital,880.5200,A central venous catheter with manual insertion system is intended to provide short-term access (<30 days) to the central venous system. The manual insertion system is attached to the catheter and facilitates placement in the targeted vessel.,N,1
QCL,Acid-Sphingomyelinase (Asm) Newborn Screening Test System,2,CH,Clinical Chemistry,862.1488,For quantitative measurement of the activity of acid-sphingomyelinase (ASM) from newborn dried blood spot specimens as an aid in screening newborns for Niemann-Pick disease.,N,1
DLS,"Gas Chromatograph, Alcohol (Dedicated Instruments)",2,TX,Clinical Toxicology,862.3040,,N,1
BTL,"Ventilator, Emergency, Powered (Resuscitator)",2,AN,Anesthesiology,868.5925,,N,1
HZJ,"Stain, Papanicolau",1,HE,Hematology,864.1850,,Y,4
LPM,"Lenses, Soft Contact, Extended Wear",3,OP,Ophthalmic,886.5925,,N,2
NEC,"Bandage, Liquid, Skin Protectant",1,HO,General Hospital,880.5090,,N,4
MIZ,"Enzyme Linked Immunoabsorbent Assay, Histoplasma Capsulatum",2,MI,Microbiology,866.3320,,N,4
PME,External Cleaning Solution,2,DE,Dental,872.3260,"For use on dental restorations, external to the mouth, prior to insertion into the mouth.",N,4
QHV,Multiple Osteoarticular Pathogen Antigen Kit,N,,Unknown,,Qualitative detection of microbial antigen in synovial fluid,N,3
QHW,Single Lumen Ecmo Cannula,2,CV,Cardiovascular,870.4100,"Single-lumen cannulas/catheters to be used with an extracorporeal circuit intended for use in patients with acute respiratory failure or acute cardiopulmonary failure, where other available treatment options have failed, and continued clinical deterioration is expected or the risk of death is imminent.",N,1
LZC,"Medical Glove, Specialty",1,HO,General Hospital,880.6250,"A disposable medical glove (examination or surgeons) is a device that may or may not bear a trace amount of residual powder and is intended to be worn on the hand or finger(s) for medical purposes to prevent contamination. In addition, these gloves may have specialty claims such as chemotherapy, etc.",N,1
DKP,"Radioimmunoassay, Phenobarbital",2,TX,Clinical Toxicology,862.3660,,N,1
PMY,"System, Nucleic Acid Amplification Test, Dna, Carbapenem Non-Susceptible Gram Negative Organism, Colony",2,MI,Microbiology,866.1640,To detect the presence of genetic markers of antimicrobial resistance by testing isolated bacterial colonies using nucleic  acid amplification technology.,N,1
KAI,"Mirror, Ent",1,EN,"Ear, Nose, Throat",874.4420,,N,4
LXM,"Manipulator, Plunger-Like Joint",U,,Unknown,,,N,1
JAZ,"Prosthesis, Facial, Mandibular Implant",2,EN,"Ear, Nose, Throat",874.3695,,N,1
OUB,Instrument For Treatment Of Hyperhidrosis,2,SU,"General, Plastic Surgery",878.4400,Soft-tissue coagulation,N,1
KKR,Potassium Periodate,1,HE,Hematology,864.1850,,Y,4
FBM,"Cannula And Trocar, Suprapubic, Non-Disposable",1,GU,"Gastroenterology, Urology",876.5090,,N,4
MTO,"Software, Management, Microplate Assay",N,,Unknown,,,N,3
GSJ,"Antiserum, Fluorescent, Francisella Tularensis",2,MI,Microbiology,866.3280,,N,4
DOH,"Electrometry, Cholinesterase",1,TX,Clinical Toxicology,862.3240,,N,4
JTY,"Culture Media, For Isolation Of Pathogenic Neisseria",2,MI,Microbiology,866.2410,,N,1
KTL,Anti-Dna Indirect Immunofluorescent Solid Phase,2,IM,Immunology,866.5100,,N,1
HJT,Haploscope,1,OP,Ophthalmic,886.1340,,N,4
MZG,"Test, Residual, Wbc In Leukoreduced Blood",2,HE,Hematology,864.8625,CBER,N,1
NGG,"Test, Methamphetamine, Over The Counter",2,TX,Clinical Toxicology,862.3610,,N,1
QPK,Eua Faceshields,N,,Unknown,,Authorized faceshields intended for use during the declared public health emergency.,N,7
NZH,"Medication Management System, Remote",2,HO,General Hospital,880.6315,A remote medication management system provides a means for the patient's prescribed medications to be stored in a delivery unit; For a medical provider to remotely schedule the patient's prescribed medications; To provide notification to the patient when the prescribed medications are due to be taken; To release the prescribed medications to a tray of the delivery unit accessible to the patient on the patient's command; And to provide to the medical provider a history of the event. The system is intended for use as an aid to medical providers in managing therapeutic regimens for patients in the home or clinic.,N,1
KLQ,"Radioimmunoassay, Amikacin",2,TX,Clinical Toxicology,862.3035,,N,1
EZY,"Device, Incontinence, Mechanical/Hydraulic",3,GU,"Gastroenterology, Urology",876.5280,PMA to be filed by 12/26/00 (65 FR 57731 (9/26/00)),N,2
KKD,Nigrosin,1,HE,Hematology,864.1850,,Y,4
PUE,"Biomicroscope, Slit-Lamp, Ac-Powered, Exempt",2,OP,Ophthalmic,886.1850,"This product code is the class II exempt counterpart of HJO, and was exempted, subject to the limitations of exemption, under the procedures established by the 21st Century Cures Act. This device type does not require premarket notification (510(k)) to market if it does not exceed the general limitations of exemption found in 21 CFR 886.9 and the specific limitations of exemption as stated in the Physical State field of this product code description.",N,4
FSP,"Loupe, Diagnostic/Surgical",1,SU,"General, Plastic Surgery",878.4800,,N,4
PEN,Gram-Negative Bacteria And Associated Resistance Markers,2,MI,Microbiology,866.3365,A qualitative multiplexed in vitro diagnostic device to detect and identify gram-negative bacteria and resistance markers in positive blood cultures.,N,1
JZD,"Snare, Ear",1,EN,"Ear, Nose, Throat",874.4420,,N,4
DHA,"System, Test, Human Chorionic Gonadotropin",2,CH,Clinical Chemistry,862.1155,,N,1
MOU,Intravascular Radiation Delivery System,3,,Unknown,,,N,2
MMK,"Container, Sharps",2,HO,General Hospital,880.5570,,N,1
DOR,"Radioimmunoassay, Digoxin (3-H), Bovine Antibody, Charcoal Sep.",2,TX,Clinical Toxicology,862.3320,,N,1
ORL,Whole Blood Pre-Treatment T-Cell Enrichment Reagent,3,,Unknown,,The reagent is for the pre-treatment of whole blood prior to lymphocyte separation. The reagent aids in the removal of selected white blood cells from whole blood stored at room temperature (18-25°C).,N,2
LYN,"Apparatus, Visual Reinforcement Audiometric",2,EN,"Ear, Nose, Throat",874.1050,,N,4
IYO,"System, Imaging, Pulsed Echo, Ultrasonic",2,RA,Radiology,892.1560,,N,1
KBF,"Trephine, Sinus",1,EN,"Ear, Nose, Throat",874.4420,,N,4
QDF,Parathyroid Autofluorescence Detection Device,2,SU,"General, Plastic Surgery",878.4550,An autofluorescence detection device for general surgery and dermatological use is an adjunct tool that uses autofluorescence to detect tissues or structures. This device is not intended to provide a diagnosis.,N,1
IBM,"Microscope, Phase Contrast",1,PA,Pathology,864.3600,,Y,4
FFH,"Collector, Urine, Pediatric, For Indwelling Catheter",2,GU,"Gastroenterology, Urology",876.5250,,N,4
FMQ,"Restraint, Protective",1,HO,General Hospital,880.6760,,N,4
JWY,Manual Antimicrobial Susceptibility Test Systems,2,MI,Microbiology,866.1640,,N,1
LCY,"U.V. Spectrometry, Theophylline",2,TX,Clinical Toxicology,862.3880,,N,1
LSE,"Epstein-Barr Virus, Other",1,MI,Microbiology,866.3235,,N,1
PUW,"System, Test, Radioallergosorbent (Rast) Immunological, Exempt Allergens",2,IM,Immunology,866.5750,"Intended for in vitro diagnostic use as an aid in the clinical diagnosis of IgE mediated allergic disorders in conjunction with other clinical findings, and is to be used in clinical laboratories.    FDA has exempted these devices from the premarket notification requirement by publishing in the Federal Register of July 11, 2017 (82 FR 31976) available at https://www.federalregister.gov/documents/2017/07/11/2017-14453/medical-devices-exemptions-from-premarket-notification-class-ii-devices subject to the limitations under 21 CFR XXX.9, where XXX refers to Parts 862-892, and any limitations on the exemption described in (82 FR 31976).  Any device that exceeds the limitations found in 21 CFR sections 862.9 to 892.9 or identified in the Federal Register  (82 FR 31976) available at https://www.federalregister.gov/documents/2017/07/11/2017-14453/medical-devices-exemptions-from-premarket-notification-class-ii-devices is required to submit a premarket notification submission (510(k)) to FDA before introducing a device into interstate commerce.  If a manufacturers device is exempt from the premarket notification requirement, then a premarket notification submission and FDA clearance is not required before marketing the device in the U.S. however, manufacturers are required to meet all other requirements under the Federal Food Drug & Cosmetic and implementing regulations including (but not limited to) registration and listing requirements. Please see the Device Registration and Listing website for additional information on registration and listing.",N,4
HNS,Expressor,1,OP,Ophthalmic,886.4350,,N,4
PJF,Illuminator System For Blood Products,3,,Unknown,,"Preparation and storage of pathogen-reduced, blood components.",N,2
RAY,Oscilloscope (Exempted),N,,Unknown,,"A device that depicts on a screen periodic changes in an electric quantity, as voltage or current, using a cathode ray tube.",Y,
DDB,"Ceruloplasmin, Antigen, Antiserum, Control",2,IM,Immunology,866.5210,,N,4
PWY,Lumbar Puncture Tray (Adult & Pediatric),2,HO,General Hospital,880.5570,"This product code has been established in accordance with the May 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at http://www.fda.gov/downloads/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080217.pdf.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
LGQ,"Fluorescence Polarization Immunoassay, Phenobarbital",2,TX,Clinical Toxicology,862.3660,,N,1
FFA,"Tube, Drainage, Suprapubic",2,GU,"Gastroenterology, Urology",876.5090,,N,1
PFR,"System, Cystic Fibrosis Transmembrane Conductance Regulator Gene, Mutations & Variants Panel Sequencing Detection",2,IM,Immunology,866.5900,"The CFTR gene mutation detection system is used to simultaneously detect and identify a specified panel of mutations and variants in the CFTR gene using sequencing methods. It is intended for carrier screening, as an aid in confirmatory diagnostic testing of individuals with suspected cystic fibrosis (CF), and as an initial test to aid in the diagnosis of individuals with suspected CF. It is not intended for stand-alone diagnostic purposes, prenatal diagnostic, or pre-implantation screening.",N,1
JJR,Electrolyte Controls (Assayed And Unassayed),1,CH,Clinical Chemistry,862.1660,,N,4
GAM,"Suture, Absorbable, Synthetic, Polyglycolic Acid",2,SU,"General, Plastic Surgery",878.4493,,N,1
SEP,Device For Home Collection And Transport Of Vaginal Specimens By Lay Users For Use In An Approved Hpv Molecular Assay,2,MI,Microbiology,866.2920,A device for home collection and transport of vaginal specimens by lay users for HPV testing is a device intended for use by lay users in home settings or similar environments for the collection and transportation of vaginal specimens for testing using an approved HPV molecular assay with which the device has been validated.,N,1
LDG,"Kit, Earmold, Impression",1,EN,"Ear, Nose, Throat",874.3300,,N,4
HBR,"Rack, Clip",1,NE,Neurology,882.4215,,N,4
SEG,Leadless Cardiac Resynchronization Therapy (Crt),3,,Unknown,,Leadless Cardiac Resynchronization Therapy (CRT) is intended to deliver CRT using a leadless left ventricular implant,N,2
JIT,"Calibrator, Secondary",2,CH,Clinical Chemistry,862.1150,,N,4
LDO,"Enzymatic Radiochemical Assay, Tobramycin",2,TX,Clinical Toxicology,862.3900,,N,1
HBG,"Drills, Burrs, Trephines & Accessories (Manual)",2,NE,Neurology,882.4300,,N,1
QJA,Tympanostomy Tube Delivery Product With Drug,3,,Unknown,,Intended to place a tympanostomy tube across the tympanic membrane under local anesthesia.,N,2
MUJ,"System, Planning, Radiation Therapy Treatment",2,RA,Radiology,892.5050,,N,1
KBT,"Punch, Tonsil",1,EN,"Ear, Nose, Throat",874.4420,,N,4
NZF,"Static Electricity-Emitting Device, Cosmetic Use",N,,Unknown,,Intended for relaxation and cosmetic use.,N,7
IQW,"Hook, External Limb Component, Powered",1,PM,Physical Medicine,890.3420,,Y,4
FHS,"Dialyzer, Single Coil",2,GU,"Gastroenterology, Urology",876.5820,,N,1
KYT,"Light, Examination, Medical, Battery Powered",1,HO,General Hospital,880.6350,,Y,4
LSL,"Dna-Reagents, Neisseria",2,MI,Microbiology,866.3390,,N,1
LTD,Paraquat Assay,3,,Unknown,,,N,3
NIJ,"System, Test, Genotypic Detection, Resistant Markers, Enterococcus Species",2,MI,Microbiology,866.1640,The in vitro device is intended to detect the presence of the vanA and vanB genes in isolated colonies of Enterococcus spp.  as a marker for vancomycin resistance using DNA probe technology,N,1
GMX,"Antisera, Fluorescent Antibody For Fta-Abs Test",2,MI,Microbiology,866.3830,,N,1
HQS,"Burr, Corneal, Ac-Powered",1,OP,Ophthalmic,886.4070,,N,4
FNP,Urinal,1,HO,General Hospital,880.6730,,Y,4
RED,Laser Advertising Display System,N,,Unknown,,"Product, laser, demo, system, display, advertising",Y,
DDZ,"Albumin, Fitc, Antigen, Antiserum, Control",2,IM,Immunology,866.5040,,N,4
QHJ,"Sensor, Glucose, Implanted, Non-Adjunctive Use",3,,Unknown,,"A non-adjunctive implanted glucose sensor is intended to determine glucose   levels, and the direction and rate of change of glucose levels in people with   diabetes. The device is indicated to replace information obtained from standard   blood glucose monitoring devices to make diabetes-related treatment decisions. The device also provides historical glucose information, facilitating long-term therapy adjustments.",N,2
RAK,Pest Repeller,N,,Unknown,,Equipment using ultrasound to repel pests in a commercial or household application,Y,
FKP,"System, Dialysate Delivery, Single Patient",2,GU,"Gastroenterology, Urology",876.5820,,N,1
KEM,"Agent, Clearing",1,PA,Pathology,864.4010,,Y,4
JWI,"Prosthesis, Wrist, 2 Part Metal-Plastic Articulation, Semi-Constrained",2,OR,Orthopedic,888.3800,,N,1
GFG,"Bit, Surgical",1,SU,"General, Plastic Surgery",878.4820,,N,4
GZX,"Instrument, Microsurgical",1,NE,Neurology,882.4525,,N,4
LXV,"Apparatus, Vestibular Analysis",U,,Unknown,,,N,1
PSP,Intracranial Pressure & Temperature Monitoring Kit,2,NE,Neurology,882.1620,"This product code has been established in accordance with the May 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at http://www.fda.gov/downloads/MedicalDevices/DeviceRegulationandGuidance/GuidanceDocuments/ucm080217.pdf.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
EFS,"Unit, Oral Irrigation",1,DE,Dental,872.6510,,N,4
MMQ,"Topographer, Corneal, Ac-Powered",1,OP,Ophthalmic,886.1350,,N,4
OXR,5-Fluorouracil Assay,N,,Unknown,,Measures levels of a chemotherapy drug in the blood.,N,3
PLU,Thermal System For Insomnia,2,NE,Neurology,882.5700,A thermal system for insomnia is a prescription device for use in patients with insomnia that is used to apply a specified temperature to the skin surface.,N,1
FBX,"Sound, Urethral, Metal Or Plastic",1,GU,"Gastroenterology, Urology",876.5520,,N,4
GCG,Peritoneoscope,2,GU,"Gastroenterology, Urology",876.1500,,N,1
NNQ,"Forceps, Wire Closure, Ent, Non-Sterile",1,EN,"Ear, Nose, Throat",874.3540,Prosthesis modification instrument for ossicular replacement surgery; see product code JXX.,Y,4
QSZ,Absorbable Synthetic Wound Dressing,U,,Unknown,,Intended as a physical barrier to cover the wound and provide a moist wound environment. Intended to be left on wounds after topical application.,N,1
PCE,Permanently Mounted Wheelchair Platform Lift,2,PM,Physical Medicine,890.3930,"Intended for medical purposes to provide a guided platform to move a person with impaired mobility, with or without a wheelchair, from one level to another.",N,4
FKX,"System, Peritoneal, Automatic Delivery",2,GU,"Gastroenterology, Urology",876.5630,,N,1
LHC,"Warmer, Irrigation Solution",1,PM,Physical Medicine,890.5950,,N,4
NQZ,"Antigen, Invasive Fungal Pathogens",2,MI,Microbiology,866.3050,"Invasive fungal pathogen assays are devices that consist of antigens, antisera, or proteases used in serological assays for the presumptive diagnosis of fungal infection in serum or plasma.  The assay is indicated for use in patients with symptoms of, or medical conditions predisposing the patient to invasive fungal infection.  The device can be used as an aid in the diagnosis of deep seated mycoses and fungemias.  A positive result does not indicate which class of fungi may be causing infection. The assays should be used in conjunction with other diagnostic procedures, such as microbiological culture, histological examination of biopsy samples and radiological examination.",N,1
RCP,"Vehicle And Cargo X-Ray System, Mobile",N,,Unknown,,"A mobile system, usually mounted in a truck or similar conveyance which uses x-rays to find contraband, explosives, or weapons concealed in vehicles and cargo containers.",Y,
