product_code,device_name,device_class,medical_specialty,medical_specialty_description,regulation_number,definition,gmp_exempt_flag,submission_type_id
PJH,Dynamic Rectal Control System,2,GU,"Gastroenterology, Urology",876.5930,Intended to treat fecal incontinence by controlling the size of the rectal lumen.,N,1
FWJ,"Camera, Cine, Microsurgical, Without Audio",1,SU,"General, Plastic Surgery",878.4160,,N,4
GNP,"Antiserum, Cf, Epstein-Barr Virus",1,MI,Microbiology,866.3235,,N,1
MIR,"Shunt, Portosystemic, Endoprosthesis",3,,Unknown,,,N,2
ICM,Brilliant Yellow,1,HE,Hematology,864.1850,,Y,4
OFK,Percutaneous Atrial Catheter Kit,2,CV,Cardiovascular,870.1250,"This product code has been established in accordance with the may 20, 1997, guidance entitled, convenience kits interim regulatory guidance, found at www.Fda.Gov/cdrh/ode/convkit.Html.  This type of convenience kit, as listed in the guidance above, is under enforcement discretion, and does not require a premarket notification (510(k)) to market if it meets all criteria in the guidance.",N,7
JQT,"Densitometer/Scanner (Integrating, Reflectance, Tlc, Radiochromat.) Clinica",1,CH,Clinical Chemistry,862.2400,,N,4
LQM,Gram Negative Identification Panel,1,MI,Microbiology,866.2660,,N,4
EKM,Gutta-Percha,1,DE,Dental,872.3850,,N,4
EZW,"Stimulator, Electrical, Implantable, For Incontinence",3,GU,"Gastroenterology, Urology",876.5270,PMAs to be filed by 12/26/96 (61 FR 50707 (9/27/96)),N,2
QTI,Saline Vascular Access Flush With Integrated Alcohol Disinfectant Device,2,HO,General Hospital,880.5200,Prefilled saline flush syringe with an integrated disinfection unit is intended to be used as a disinfection cleaner for needleless access devices attached to indwelling vascular access devices (VADs) and flushing of these VADs.,N,1
GBZ,"Catheter, Cholangiography",1,SU,"General, Plastic Surgery",878.4200,,N,4
DAW,"Alpha-2-Ap-Glycoprotein, Antigen, Antiserum, Control",1,IM,Immunology,866.5425,,N,4
LKM,"Counter, Urine Particle",2,HE,Hematology,864.5200,,N,1
GXX,"Block, Test, Ultrasonic Scanner Calibration",1,NE,Neurology,882.1925,,N,4
GCL,"Esophagoscope, General & Plastic Surgery",2,GU,"Gastroenterology, Urology",876.1500,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",N,1
GFB,"Head, Surgical, Hammer",1,SU,"General, Plastic Surgery",878.4820,,N,4
KSY,"Boxes, View, Blood Grouping",1,HE,Hematology,864.9185,,N,4
GKW,"Aggregometer, Platelet, Thrombokinetogram",2,HE,Hematology,864.6675,,N,1
LMF,"Agent, Absorbable Hemostatic, Collagen Based",3,SU,"General, Plastic Surgery",878.4490,,N,2
PTL,"Wire, Guide, Catheter, Exempt",2,CV,Cardiovascular,870.1330,"This product code is the class II exempt counterpart of DQX, and was exempted, subject to the limitations of exemption, under the procedures established by the 21st Century Cures Act. This device type does not require premarket notification (510(k)) to market if it does not exceed the general limitations of exemption found in 21 CFR 870.9 and the specific limitations of exemption as stated in the Physical State field of this product code description.",N,4
MMF,Photorefractor,2,OP,Ophthalmic,886.1120,,N,4
QYA,System For Detection Of Nucleic Acid From Non-Viral Microorganism(S) Causing Stis Using Specimens Collected At Home,2,MI,Microbiology,866.3385,This device is an in vitro diagnostic system intended for self-collecting specimens in home settings or similar environments and testing in a clinical laboratory for detection of nucleic acids from non-viral microorganism(s) causing sexually transmitted infections. The device is intended to aid in the diagnosis of sexually transmitted infections. The device is intended for prescription use or over-the-counter use.,N,1
JCB,Detergent,1,PA,Pathology,864.4010,,Y,4
OVY,Liquid Chemical Processing System,2,HO,General Hospital,880.6887,The liquid chemical processing system is intended as a standard method for routine monitoring.,N,1
DQO,"Catheter, Intravascular, Diagnostic",2,CV,Cardiovascular,870.1200,,N,1
QWQ,Assays To Detect Pre-Existing Antibodies To Adeno-Associated Virus (Aav) Viral Vectors,3,,Unknown,,An in vitro diagnostic device intended to detect and/or measure pre-existing endogenous antibodies to adeno-associated virus (AAV) viral vectors in patients who may receive AAV vector-based gene therapy products.,N,2
DLY,"Plate, Alumina, Tlc",1,CH,Clinical Chemistry,862.2270,,N,4
